Year,Month,Day,Value
2020,1,1,Trace
2020,1,2,0
2020,1,3,0
2020,1,4,0
2020,1,5,0
2020,1,6,0
2020,1,7,Trace
2020,1,8,0
2020,1,9,0
2020,1,10,0
2020,1,11,0
2020,1,12,0
2020,1,13,0
2020,1,14,0
2020,1,15,0.1
2020,1,16,Trace
2020,1,17,0
2020,1,18,0
2020,1,19,0
2020,1,20,0
2020,1,21,0
2020,1,22,Trace
2020,1,23,0
2020,1,24,Trace
2020,1,25,2.1
2020,1,26,12.3
2020,1,27,0.2
2020,1,28,0.1
2020,1,29,0
2020,1,30,0
2020,1,31,0
2020,2,1,0
2020,2,2,0
2020,2,3,Trace
2020,2,4,0.8
2020,2,5,1
2020,2,6,Trace
2020,2,7,0
2020,2,8,0
2020,2,9,Trace
2020,2,10,0
2020,2,11,0.8
2020,2,12,0
2020,2,13,41.6
2020,2,14,9.7
2020,2,15,Trace
2020,2,16,25.5
2020,2,17,0
2020,2,18,0
2020,2,19,0
2020,2,20,0
2020,2,21,0
2020,2,22,0
2020,2,23,0
2020,2,24,0
2020,2,25,Trace
2020,2,26,0
2020,2,27,0.4
2020,2,28,0
2020,2,29,0
2020,3,1,0
2020,3,2,Trace
2020,3,3,Trace
2020,3,4,3.1
2020,3,5,0.4
2020,3,6,Trace
2020,3,7,Trace
2020,3,8,Trace
2020,3,9,Trace
2020,3,10,Trace
2020,3,11,Trace
2020,3,12,Trace
2020,3,13,0
2020,3,14,0.4
2020,3,15,0
2020,3,16,0
2020,3,17,0
2020,3,18,10.7
2020,3,19,0.8
2020,3,20,0.4
2020,3,21,0.2
2020,3,22,0
2020,3,23,0
2020,3,24,Trace
2020,3,25,Trace
2020,3,26,1
2020,3,27,Trace
2020,3,28,9.8
2020,3,29,2.2
2020,3,30,6.5
2020,3,31,5.8
2020,4,1,0.2
2020,4,2,0.4
2020,4,3,0.6
2020,4,4,1.1
2020,4,5,4.6
2020,4,6,21.5
2020,4,7,Trace
2020,4,8,0
2020,4,9,0
2020,4,10,0
2020,4,11,20.5
2020,4,12,0.4
2020,4,13,0
2020,4,14,0
2020,4,15,0
2020,4,16,0
2020,4,17,0
2020,4,18,Trace
2020,4,19,0
2020,4,20,0
2020,4,21,0
2020,4,22,25.8
2020,4,23,1.3
2020,4,24,0.6
2020,4,25,0.1
2020,4,26,0.7
2020,4,27,0
2020,4,28,0
2020,4,29,0
2020,4,30,0
2020,5,1,0
2020,5,2,0
2020,5,3,0
2020,5,4,0
2020,5,5,0
2020,5,6,0
